,Lycorine_A1,Lycorine_A9,Lycorine_A18,Bufalin_B3,Bufalin_B12,Bufalin_B20,DMSO_C5,DMSO_C14,DMSO_C22
ENSRNOG00000000001,5,24,14,16,8,35,63,46,23
ENSRNOG00000000007,51,2,25,1,1,3,2,0,2
ENSRNOG00000000008,4,18,9,0,0,1,1,0,0
ENSRNOG00000000009,0,0,1,2,7,3,0,4,1
ENSRNOG00000000010,2,2,0,0,2,0,0,1,4
ENSRNOG00000000012,405,208,268,332,138,152,188,113,87
ENSRNOG00000000017,5,1,1,12,14,20,21,20,12
ENSRNOG00000000021,145,208,189,251,230,358,443,309,278
ENSRNOG00000000024,525,570,546,324,283,311,437,321,271
ENSRNOG00000000033,770,800,521,247,310,332,469,287,297
ENSRNOG00000000034,3106,3595,2616,171,179,134,251,173,105
ENSRNOG00000000035,0,0,0,0,0,1,0,0,0
ENSRNOG00000000036,26,73,12,4,14,12,18,13,6
ENSRNOG00000000040,110,90,132,45,54,63,77,50,88
ENSRNOG00000000041,0,1,0,2,0,0,0,0,0
ENSRNOG00000000042,147,140,108,324,396,631,319,330,481
ENSRNOG00000000043,553,539,546,713,528,744,1128,605,699
ENSRNOG00000000044,231,356,231,335,401,487,685,454,421
ENSRNOG00000000047,2259,2247,2424,3357,2930,3935,6641,3148,3265
ENSRNOG00000000048,1624,1191,1365,1971,1660,2021,2849,1573,1720
ENSRNOG00000000053,1,2,3,0,0,0,0,0,1
ENSRNOG00000000054,68,74,63,68,69,69,163,93,80
ENSRNOG00000000055,18,12,8,23,9,8,23,13,4
ENSRNOG00000000060,146,104,135,34,33,30,38,39,36
ENSRNOG00000000062,123,80,86,450,382,478,690,435,416
ENSRNOG00000000064,9483,5719,5803,8156,6514,6147,8906,5507,5401
ENSRNOG00000000065,14,8,7,6,0,0,4,4,2
ENSRNOG00000000066,310,367,333,423,450,612,669,443,499
ENSRNOG00000000068,1649,1439,1208,2137,1626,1881,2567,1609,1537
ENSRNOG00000000070,0,0,0,0,0,0,0,0,0
ENSRNOG00000000073,412,410,332,829,734,937,1183,741,695
ENSRNOG00000000075,436,265,282,465,344,408,733,336,354
ENSRNOG00000000081,374,727,579,355,570,877,1030,523,712
ENSRNOG00000000082,1244,1295,995,647,611,794,1040,729,595
ENSRNOG00000000091,0,0,0,0,0,1,0,1,0
ENSRNOG00000000095,167,171,171,239,203,220,411,210,268
ENSRNOG00000000096,87,16,13,44,21,29,41,9,65
ENSRNOG00000000097,0,1,0,2,0,0,0,0,3
ENSRNOG00000000098,2960,1922,1891,2735,3989,6085,3770,3619,4331
ENSRNOG00000000104,287,321,231,494,475,504,674,508,461
ENSRNOG00000000105,470,561,827,57,61,65,144,57,44
ENSRNOG00000000108,106,86,109,157,107,196,271,191,209
ENSRNOG00000000109,0,0,0,0,0,0,1,0,0
ENSRNOG00000000111,120,112,82,138,173,217,309,246,202
ENSRNOG00000000112,695,1012,759,541,639,754,934,570,528
ENSRNOG00000000113,92,107,109,99,85,93,129,92,75
ENSRNOG00000000121,541,402,336,220,244,282,553,230,259
ENSRNOG00000000122,1459,1235,1127,1536,1558,1886,2478,1762,1761
ENSRNOG00000000123,9126,8741,8413,7740,7212,10332,9851,6554,7481
ENSRNOG00000000124,0,0,0,0,0,0,0,0,0
ENSRNOG00000000127,907,1655,1270,975,1391,1788,1642,1452,1520
ENSRNOG00000000129,155,273,88,20,60,98,44,53,55
ENSRNOG00000000130,3988,2926,2549,1355,2729,4631,2288,2053,4150
ENSRNOG00000000133,372,467,375,414,472,531,734,524,486
ENSRNOG00000000137,1,0,0,10,2,5,4,9,5
ENSRNOG00000000138,137,168,264,21,25,52,61,56,23
ENSRNOG00000000142,21,18,18,100,44,45,63,54,35
ENSRNOG00000000145,726,426,366,204,144,136,213,120,118
ENSRNOG00000000150,656,420,487,659,580,648,868,492,563
ENSRNOG00000000151,435,335,641,155,174,310,288,163,174
ENSRNOG00000000155,416,535,450,432,527,655,735,438,513
ENSRNOG00000000156,2,1,4,13,3,6,7,4,2
ENSRNOG00000000157,1202,1133,1032,1014,1266,1387,1312,1157,1050
ENSRNOG00000000158,85,99,61,51,74,40,61,81,43
ENSRNOG00000000161,181,184,191,157,136,174,298,139,166
ENSRNOG00000000164,2468,2787,2813,3186,3380,3797,4707,3239,3263
ENSRNOG00000000165,25,10,9,19,14,17,28,12,21
ENSRNOG00000000166,49,64,51,105,111,122,202,125,106
ENSRNOG00000000167,59,82,129,84,115,262,97,89,203
ENSRNOG00000000168,85,24,29,109,65,65,95,67,36
ENSRNOG00000000169,151,255,164,286,328,397,382,309,347
ENSRNOG00000000170,615,526,535,1392,1144,1395,1597,1121,1342
ENSRNOG00000000172,301,329,124,439,521,300,763,594,431
ENSRNOG00000000175,575,445,465,1213,1104,1275,2267,1083,1089
ENSRNOG00000000177,11,11,1,37,31,22,75,60,75
ENSRNOG00000000184,71,45,51,13,22,22,15,9,24
ENSRNOG00000000185,1329,1304,1267,910,954,1115,1058,897,907
ENSRNOG00000000186,554,651,414,342,507,391,465,420,321
ENSRNOG00000000187,2390,1900,1441,4634,3202,4222,8187,3260,2646
ENSRNOG00000000190,90,152,63,147,237,157,193,167,106
ENSRNOG00000000195,2,2,2,0,0,0,0,0,0
ENSRNOG00000000196,1,0,0,0,0,0,1,0,0
ENSRNOG00000000199,5,17,9,9,3,1,1,1,2
ENSRNOG00000000201,1,5,0,9,3,2,8,2,0
ENSRNOG00000000204,1100,773,941,1057,925,1130,1350,911,880
ENSRNOG00000000219,1520,1447,1328,1125,1381,1358,1284,1134,1092
ENSRNOG00000000221,1287,1043,1070,1341,1010,1383,1570,1109,1329
ENSRNOG00000000230,378,529,435,301,273,370,545,378,332
ENSRNOG00000000231,103,108,86,227,181,294,716,351,295
ENSRNOG00000000233,1,0,1,0,0,1,1,0,0
ENSRNOG00000000236,3006,2685,2921,2535,2267,3141,3998,2470,2547
ENSRNOG00000000237,27,72,31,30,39,60,75,35,40
ENSRNOG00000000239,2359,3380,3320,5335,8812,7117,11820,7732,5528
ENSRNOG00000000244,172,276,155,309,299,319,397,349,276
ENSRNOG00000000245,124,150,66,99,102,118,122,96,119
ENSRNOG00000000246,803,1014,761,533,594,639,789,520,568
ENSRNOG00000000247,377,544,676,230,237,354,491,375,347
ENSRNOG00000000248,18408,10710,14177,12817,10368,11386,14799,10553,9080
ENSRNOG00000000249,134,141,108,95,132,123,192,110,93
ENSRNOG00000000250,2827,1511,1906,1557,1034,1451,1616,1155,1327
ENSRNOG00000000251,42,10,17,1,3,4,2,2,2
ENSRNOG00000000252,0,0,0,0,0,0,0,0,0
ENSRNOG00000000257,55,32,35,20,27,13,22,12,3
ENSRNOG00000000258,527,643,489,827,841,1010,1290,923,908
ENSRNOG00000000262,717,458,611,528,636,1013,743,636,988
ENSRNOG00000000264,207,427,222,194,323,253,247,243,229
ENSRNOG00000000274,80,34,64,11,13,10,16,4,11
ENSRNOG00000000275,79,51,51,28,6,8,30,12,6
ENSRNOG00000000277,38,20,17,7,6,5,7,3,1
ENSRNOG00000000279,1384,1572,1179,1053,1079,1206,1257,922,939
ENSRNOG00000000281,2426,1444,2287,990,648,1070,1767,557,1022
ENSRNOG00000000282,0,0,0,0,0,0,0,0,0
ENSRNOG00000000283,167,306,238,305,453,447,565,354,373
ENSRNOG00000000288,177,168,156,685,418,431,804,493,371
ENSRNOG00000000299,542,713,556,246,203,276,292,188,270
ENSRNOG00000000302,596,740,467,360,365,369,398,297,268
ENSRNOG00000000303,102,103,64,119,104,128,249,137,160
ENSRNOG00000000304,6489,6969,6781,5171,5062,6962,6816,5063,5241
ENSRNOG00000000306,455,286,336,748,457,601,966,565,563
ENSRNOG00000000307,312,208,272,237,193,259,314,192,207
ENSRNOG00000000308,1091,986,821,328,385,421,427,335,346
ENSRNOG00000000312,167,160,148,148,147,196,206,181,131
ENSRNOG00000000314,3706,2769,2919,2526,2213,2281,3187,2125,1945
ENSRNOG00000000316,173,551,358,104,84,134,117,92,90
ENSRNOG00000000320,0,2,1,0,0,0,0,0,1
ENSRNOG00000000321,103,128,126,24,15,52,28,14,31
ENSRNOG00000000322,473,400,401,696,689,725,987,635,626
ENSRNOG00000000323,663,297,604,485,363,537,1243,352,389
ENSRNOG00000000327,180,147,167,355,359,445,658,315,449
ENSRNOG00000000335,18,5,1,3,0,1,6,1,2
ENSRNOG00000000340,2152,1846,1633,2237,2418,2357,3557,2301,2094
ENSRNOG00000000341,753,725,1122,1476,1346,1951,3132,1174,1475
ENSRNOG00000000345,0,0,0,0,0,0,0,0,0
ENSRNOG00000000368,58,11,27,63,24,22,95,25,32
ENSRNOG00000000373,271,209,194,176,94,220,183,123,179
ENSRNOG00000000376,0,4,4,2,4,4,7,3,5
ENSRNOG00000000378,51,57,52,38,46,61,32,46,61
ENSRNOG00000000383,2878,2712,1794,1226,1892,2712,1496,1298,2504
ENSRNOG00000000384,4,5,11,0,0,2,4,3,4
ENSRNOG00000000386,216,138,117,60,49,61,158,59,68
ENSRNOG00000000387,330,311,328,366,397,406,567,398,335
ENSRNOG00000000390,1,1,0,0,0,0,2,0,0
ENSRNOG00000000392,1658,1511,1360,918,1044,1042,1421,883,795
ENSRNOG00000000394,351,181,182,697,401,511,918,392,383
ENSRNOG00000000395,628,1004,648,347,531,549,583,503,426
ENSRNOG00000000396,3249,2424,3023,1416,1076,1341,1453,1078,1178
ENSRNOG00000000397,3610,2141,2661,2868,2104,2690,3647,1996,2268
ENSRNOG00000000398,810,958,713,589,669,797,916,750,520
ENSRNOG00000000401,0,0,0,0,0,0,0,0,0
ENSRNOG00000000405,0,4,0,0,0,2,0,0,0
ENSRNOG00000000406,417,275,412,144,113,245,223,164,193
ENSRNOG00000000407,84,103,70,139,152,176,195,145,135
ENSRNOG00000000408,758,769,674,978,1106,1101,1243,952,905
ENSRNOG00000000410,1,14,2,0,5,1,3,1,0
ENSRNOG00000000411,592,656,547,1297,1165,1295,1771,1185,1087
ENSRNOG00000000412,16,22,9,12,15,5,12,16,5
ENSRNOG00000000413,48889,51607,36007,26596,28356,27708,30067,23812,21306
ENSRNOG00000000414,318,306,224,251,195,200,266,148,178
ENSRNOG00000000415,762,620,693,484,461,507,580,396,447
ENSRNOG00000000417,1967,1878,1641,2314,1829,2431,3621,2016,2221
ENSRNOG00000000418,88,107,80,65,37,39,73,74,69
ENSRNOG00000000419,1593,3415,1305,269,1538,4345,1359,3473,1753
ENSRNOG00000000420,302,294,270,480,410,549,830,478,503
ENSRNOG00000000421,524,516,403,605,747,862,1073,705,777
ENSRNOG00000000422,151,153,127,235,273,320,533,298,279
ENSRNOG00000000423,147,124,119,85,144,177,140,171,141
