"miRNA_ID","Lycorine_A1","Bufalin_B3","DMSO_C5","Lycorine_A9","Bufalin_B12","DMSO_C14","Lycorine_A18","Bufalin_B20","DMSO_C22"
"rno-miR-322-3p",325,1741,1230,3768,2383,3110,1894,1361,2269
"rno-miR-181a-5p",3531,21883,13584,26656,20226,25517,16746,12316,20428
"rno-miR-181b-5p",694,3949,3006,6654,5266,5837,3535,2612,4420
"rno-miR-3542",3,17,12,17,19,20,8,4,15
"rno-miR-295-3p",0,0,0,2,1,1,1,0,0
"rno-miR-3556b",0,0,0,0,0,0,0,0,0
"rno-miR-190a-3p",3,11,2,14,6,8,11,3,6
"rno-miR-295-5p",1,0,0,0,1,0,0,0,0
"rno-miR-103-3p",1424,6938,5811,17555,11339,14726,8926,5049,7076
"rno-miR-434-5p",7,61,29,26,34,46,22,17,57
"rno-miR-138-5p",6,13,10,24,24,14,8,10,15
"rno-miR-344b-5p",2,2,0,0,0,1,1,1,0
"rno-miR-9a-3p",3,47,26,61,63,57,32,26,58
"rno-miR-9b-3p",0,0,0,0,0,0,0,0,0
"rno-miR-466b-3p",40,34,17,21,20,20,18,24,34
"rno-miR-466b-4-3p",24,49,27,29,36,40,34,32,51
"rno-miR-450b-3p",22,130,107,264,191,239,144,104,164
"rno-miR-17-5p",201,1312,1104,1626,1625,2291,1433,1396,2339
"rno-miR-322-5p",406,2064,1250,3109,2107,2970,2432,1517,2518
"rno-miR-3543",0,0,0,0,0,1,0,0,1
"rno-miR-124-5p",42,25,15,4,8,5,9,11,18
"rno-let-7c-2-3p",335,2884,1718,4496,3287,3763,2244,1560,2694
"rno-miR-542-5p",4,17,19,9,10,17,10,11,19
"rno-miR-29b-5p",19,63,42,147,96,111,65,32,54
"rno-miR-129-5p",4,22,12,22,20,26,23,11,22
"rno-miR-3584-3p",0,0,0,0,0,0,0,0,0
"rno-miR-598-5p",6,16,10,2,1,0,3,2,3
"rno-miR-503-3p",98,541,377,981,701,910,566,337,582
"rno-miR-3584-5p",39,29,34,6,8,15,8,14,24
"rno-miR-344b-3p",0,0,0,0,0,0,0,0,0
"rno-miR-351-3p",24,13,15,9,9,19,10,5,15
"rno-miR-6317",3,1,0,0,0,1,0,1,1
"rno-miR-3084b-5p",0,0,0,0,0,0,0,0,0
"rno-miR-124-3p",0,0,0,2,1,1,0,1,0
"rno-miR-598-3p",183,211,189,352,253,277,178,162,265
"rno-miR-29b-3p",199,1138,625,1590,1217,1451,583,480,888
"rno-miR-29c-3p",42,198,118,277,222,300,134,110,134
"rno-miR-503-5p",73,419,272,705,438,639,499,362,537
"rno-miR-196b-5p",0,2,2,1,4,2,2,1,4
"rno-miR-466b-5p",8,62,48,80,68,80,50,38,82
"rno-miR-664-3p",130,942,652,2312,1668,2033,981,605,1072
"rno-miR-92a-3p",1076,7365,5868,12481,10615,12785,7138,5640,9604
"rno-miR-128-3p",412,5600,2590,6389,5052,5864,2387,1762,3156
"rno-miR-344a-5p",3,0,5,0,0,0,0,1,3
"rno-miR-6319",6,2,4,6,6,8,5,5,2
"rno-miR-125b-5p",0,0,0,0,0,0,0,0,0
"rno-miR-351-5p",389,2538,1801,4979,3586,4361,2647,1847,2920
"rno-miR-340-3p",29,416,173,375,326,344,186,133,221
"rno-miR-196b-3p",8,2,4,0,1,1,0,2,3
"rno-miR-9a-5p",286,1448,978,2765,1954,2424,1294,913,1585
"rno-miR-29c-5p",45,390,167,317,283,307,151,115,232
"rno-let-7f-5p",12213,88333,60915,165584,129619,155511,70448,51696,79649
"rno-let-7a-5p",0,0,0,0,0,0,0,0,0
"rno-let-7c-5p",5660,31151,22156,59640,44125,49679,31093,22037,36929
"rno-miR-190a-5p",54,261,190,448,299,358,258,149,255
"rno-miR-219a-5p",0,8,4,20,11,17,8,8,15
"rno-miR-7a-5p",521,5383,3666,8859,7413,7900,3784,3103,4463
"rno-miR-24-3p",6943,56338,32105,75502,55691,71308,38632,30771,49416
"rno-miR-30c-5p",26229,190968,139174,430027,307411,336538,179617,115905,193643
"rno-miR-194-5p",98,536,417,2087,1412,1957,916,605,966
"rno-miR-542-3p",182,765,562,1952,1028,1605,1288,909,1229
"rno-miR-19b-3p",91,543,306,630,452,652,588,421,754
"rno-miR-340-5p",209,1351,817,1994,1560,1918,1059,864,1436
"rno-miR-350",17,102,74,194,137,185,112,62,120
"rno-miR-9b-5p",0,0,0,0,0,0,0,0,0
"rno-miR-3084b-3p",20,15,12,14,6,12,14,9,8
"rno-miR-218a-5p",1,16,7,10,6,10,4,2,3
"rno-miR-434-3p",0,0,0,0,0,0,0,0,0
"rno-miR-450b-5p",6,51,15,60,20,23,31,24,20
"rno-miR-320-3p",341,2203,1723,7173,5027,5580,3658,2045,3187
"rno-miR-495",4,9,4,7,10,20,6,5,13
"rno-miR-218a-1-3p",0,3,3,1,1,2,1,4,4
"rno-miR-543-3p",2,11,7,18,9,23,9,10,18
"rno-miR-451-5p",28,258,134,411,364,430,598,439,652
"rno-miR-741-3p",1,0,1,0,0,1,0,0,0
"rno-miR-6325",8,11,9,2,6,8,2,7,7
"rno-miR-291b",1,0,2,2,1,0,0,0,1
"rno-miR-291a-3p",5,0,0,1,2,1,1,3,1
"rno-miR-148a-5p",33,431,151,244,227,260,171,138,282
"rno-miR-216b-5p",13,4,3,4,5,2,5,1,2
"rno-miR-224-3p",2,6,4,14,2,12,1,1,4
"rno-miR-338-5p",14,46,28,77,54,72,42,34,52
"rno-miR-329-3p",1,3,7,5,7,7,1,7,11
"rno-miR-362-3p",40,166,131,317,205,342,220,162,299
"rno-miR-3591",0,0,0,0,0,0,0,0,0
"rno-miR-3587",0,0,0,0,0,0,0,0,0
"rno-miR-376c-3p",0,5,1,7,4,7,4,2,3
"rno-miR-499-3p",525,1321,1034,608,1172,802,631,719,1082
"rno-miR-448-5p",1,0,0,0,0,0,0,0,0
"rno-miR-181c-5p",80,629,306,663,478,519,424,315,497
"rno-miR-181d-5p",825,4644,3033,9069,6947,7124,4355,2741,4810
"rno-miR-100-5p",5718,32285,22977,65896,45038,62195,30193,20479,36440
"rno-miR-99a-5p",17338,159130,79170,157183,151924,157007,65675,58647,116666
"rno-miR-582-3p",27,45,49,94,65,70,68,52,89
"rno-miR-122-3p",1,1,0,3,5,2,1,1,2
"rno-miR-190b-3p",0,1,1,0,0,0,1,0,1
"rno-miR-3596a",0,0,0,0,0,0,0,0,0
"rno-miR-3596b",0,0,0,0,0,0,0,0,0
"rno-miR-3544",0,0,1,0,0,1,1,0,0
"rno-miR-193b-3p",23,63,47,119,87,107,81,52,63
"rno-miR-193a-3p",3,12,8,9,7,5,9,4,10
"rno-miR-452-5p",28,74,74,357,171,326,86,49,68
"rno-miR-483-5p",5,13,6,13,15,16,18,9,13
"rno-miR-129-1-3p",0,0,0,0,0,0,0,0,0
"rno-miR-129-2-3p",0,4,2,6,3,16,9,4,4
"rno-miR-22-3p",7569,78618,32695,73175,57912,69238,36633,27359,49921
"rno-miR-208b-5p",3,19,11,14,12,15,6,6,22
"rno-miR-28-5p",207,1436,948,2610,1936,2249,1439,1018,1682
"rno-miR-708-5p",18,48,40,65,50,56,62,24,58
"rno-miR-541-5p",9,44,46,126,80,120,76,75,104
"rno-miR-1839-5p",180,910,787,2947,1926,2814,1326,843,1656
"rno-miR-872-5p",326,1709,1184,2777,1978,2780,1489,1113,2016
"rno-miR-292-3p",18,42,13,13,33,33,20,25,38
"rno-miR-3592",0,0,0,0,0,0,0,0,0
"rno-miR-543-5p",0,0,0,0,0,1,0,0,1
"rno-miR-369-3p",1,13,3,22,24,21,13,16,26
"rno-miR-410-3p",4,10,3,8,6,12,4,6,9
"rno-miR-34c-3p",12,17,13,29,10,19,11,6,17
"rno-miR-34b-3p",7,44,22,44,37,38,20,13,34
"rno-miR-34a-3p",2,0,0,0,1,3,0,2,1
"rno-miR-154-3p",0,3,3,0,3,2,1,0,2
"rno-miR-382-3p",0,0,0,0,0,0,0,0,0
"rno-miR-500-5p",4,1,1,5,2,2,0,3,2
"rno-miR-362-5p",23,104,89,198,164,201,164,121,177
"rno-miR-501-5p",2,1,0,0,0,3,2,2,2
"rno-miR-487b-3p",18,4,13,9,8,7,9,8,13
"rno-miR-425-5p",80,530,295,576,502,544,337,274,515
"rno-miR-501-3p",0,0,0,0,0,0,0,0,0
"rno-miR-500-3p",6,30,16,42,27,43,27,28,41
"rno-miR-652-3p",217,888,760,1670,1306,1665,1183,898,1418
"rno-miR-6329",11,144,70,142,94,161,63,38,60
"rno-miR-511-3p",3,24,15,16,30,41,11,20,32
"rno-miR-409a-3p",0,0,0,0,0,0,0,0,0
"rno-miR-363-3p",31,247,97,304,206,227,163,132,214
"rno-miR-7a-1-3p",9,58,30,59,52,65,53,37,55
"rno-miR-196c-3p",3,1,1,2,0,3,0,3,4
"rno-miR-652-5p",0,9,8,20,19,26,15,9,9
"rno-miR-125b-2-3p",211,1070,821,2557,1885,1942,1188,736,1202
"rno-miR-672-3p",76,51,75,6,23,24,14,38,38
"rno-miR-3576",0,0,0,0,0,0,0,0,0
"rno-miR-3557-3p",0,0,0,0,0,0,0,0,0
"rno-miR-10b-3p",0,3,0,2,3,1,1,0,3
"rno-miR-214-3p",75,460,266,782,581,669,595,345,567
"rno-miR-125a-3p",17,54,49,77,66,91,34,46,54
"rno-miR-199a-3p",6513,34992,28867,79124,53700,71934,47532,30681,48221
"rno-miR-206-5p",4,5,2,2,1,2,3,8,9
"rno-miR-16-3p",1,16,15,32,22,29,25,17,20
"rno-miR-181a-2-3p",21,128,86,239,158,183,107,65,121
"rno-miR-665",9,6,4,2,3,2,3,2,8
"rno-miR-181c-3p",82,348,258,737,484,609,407,287,463
"rno-miR-181a-1-3p",0,0,0,0,0,0,0,0,0
"rno-miR-1247-5p",0,2,2,6,4,5,0,1,0
"rno-miR-132-5p",47,143,62,175,84,78,126,61,129
"rno-miR-221-5p",55,145,142,248,306,344,101,152,212
"rno-miR-146a-3p",26,57,32,69,39,57,42,36,75
"rno-miR-212-5p",23,40,30,74,32,62,56,36,67
"rno-miR-1249",30,82,83,123,96,158,58,45,69
"rno-miR-802-3p",18,6,16,1,6,7,3,3,7
"rno-miR-137-5p",0,0,0,0,0,0,1,0,0
"rno-miR-125b-1-3p",24,124,119,162,166,294,120,83,166
"rno-miR-3596c",0,0,0,0,0,0,0,0,0
"rno-miR-292-5p",0,0,0,1,2,8,5,4,3
"rno-miR-293-5p",1,2,1,4,7,9,4,4,8
"rno-miR-136-5p",17,23,11,10,11,11,8,13,37
"rno-miR-130b-5p",2,8,8,16,19,15,8,11,26
"rno-miR-29a-5p",7,51,15,40,29,45,22,14,25
"rno-miR-17-2-3p",3,25,19,36,32,38,25,17,40
"rno-miR-17-1-3p",8,19,17,39,31,49,38,27,48
"rno-miR-20b-3p",1,4,3,16,8,13,4,4,13
"rno-miR-20a-3p",108,36,45,3,24,15,4,38,43
"rno-miR-18a-3p",1,3,6,1,17,12,5,10,19
"rno-miR-93-3p",6,24,16,37,20,34,24,17,27
"rno-miR-3575",0,0,0,0,0,0,0,0,0
"rno-miR-378a-3p",0,0,0,0,0,0,0,0,0
"rno-miR-336-3p",1,1,0,0,0,0,1,1,0
"rno-miR-3558-3p",6,8,6,11,4,6,4,11,15
"rno-miR-3561-5p",1,0,0,0,1,0,0,1,1
"rno-miR-219a-2-3p",9,4,1,0,0,2,0,3,1
"rno-miR-504",56,416,270,791,545,634,351,242,397
"rno-miR-1839-3p",15,108,61,196,108,190,73,59,121
"rno-miR-27b-5p",69,189,183,300,226,288,157,156,197
"rno-miR-485-5p",0,4,3,1,3,1,3,1,4
"rno-miR-879-5p",48,9,10,1,7,2,2,7,14
"rno-let-7d-5p",1777,11332,8145,22639,17696,19343,11158,8552,13882
"rno-miR-202-3p",0,0,0,0,0,0,0,0,0
"rno-miR-377-5p",1,1,3,0,0,2,0,2,1
"rno-miR-329-5p",33,35,22,22,16,28,18,20,23
"rno-miR-352",0,4,2,9,4,4,4,1,5
"rno-miR-219a-1-3p",1,13,12,40,23,20,18,7,16
"rno-miR-214-5p",2,2,0,0,0,0,0,2,1
"rno-miR-369-5p",0,0,0,0,0,0,0,0,0
"rno-miR-219b",1,1,3,5,3,7,3,4,5
"rno-miR-770-5p",8,3,5,2,1,5,2,3,1
"rno-miR-107-3p",108,858,537,1415,1166,1345,773,508,804
"rno-miR-3583-5p",10,3,4,3,0,6,1,4,3
"rno-miR-210-5p",22,14,14,27,27,36,23,24,26
"rno-miR-381-5p",0,0,0,0,0,0,0,0,0
"rno-miR-666-5p",1,1,1,0,0,0,0,0,0
"rno-miR-222-3p",76,1492,1633,1028,3382,4119,513,1408,2720
"rno-miR-221-3p",260,2922,2839,3508,5444,6545,1849,2764,4793
"rno-miR-423-3p",769,4428,3045,8118,6147,6428,3710,2640,4190
"rno-miR-133a-5p",1240,5591,4332,14230,9270,11929,7327,4284,6454
"rno-miR-103-2-5p",0,0,0,1,0,0,0,0,0
"rno-miR-107-5p",1,0,1,1,3,1,0,3,4
"rno-miR-298-3p",21,54,32,58,48,65,50,45,78
"rno-miR-31a-5p",1,26,65,10,65,259,19,67,176
"rno-miR-6314",5,16,12,17,14,24,4,4,14
"rno-miR-449c-5p",1,0,0,0,0,0,0,1,0
"rno-miR-34b-5p",5,7,8,20,4,11,8,3,7
"rno-miR-34c-5p",168,744,521,1106,634,887,558,356,542
"rno-miR-15a-3p",1,0,3,1,0,3,2,0,3
"rno-miR-6328",32,23,18,25,26,20,9,16,32
"rno-miR-25-5p",4,23,16,24,26,31,21,12,21
"rno-miR-187-5p",2,2,1,2,1,1,1,1,0
"rno-miR-3552",16,6,6,1,2,1,1,2,7
"rno-miR-92b-5p",1,0,0,0,0,0,2,0,1
"rno-miR-296-5p",3,29,12,30,20,13,38,18,52
"rno-miR-27a-5p",287,605,452,2512,934,1197,1252,496,957
"rno-miR-342-5p",4,15,7,12,16,15,13,8,14
"rno-miR-409b",0,18,6,30,15,19,14,9,24
"rno-miR-540-3p",5,1,8,3,3,10,1,6,7
"rno-miR-92a-2-5p",0,0,1,0,0,0,0,1,0
"rno-miR-323-5p",0,0,0,1,0,0,1,0,0
"rno-miR-409a-5p",6,8,9,16,14,11,11,16,11
"rno-miR-152-5p",10,92,34,75,55,97,32,32,78
"rno-miR-92a-1-5p",2,25,7,21,18,20,16,14,24
"rno-miR-496-5p",9,1,4,0,0,1,2,2,6
"rno-miR-494-5p",2,0,0,0,0,0,1,3,5
"rno-miR-410-5p",1,0,1,0,0,0,0,1,0
"rno-miR-496-3p",2,3,0,2,1,4,2,2,4
"rno-miR-344g",1,2,0,0,0,0,0,0,0
"rno-miR-1956-5p",32,13,5,5,7,5,5,7,17
"rno-miR-293-3p",0,3,0,0,0,0,0,0,1
"rno-miR-378b",3,13,5,21,20,19,96,67,118
"rno-miR-541-3p",0,0,1,0,0,1,0,2,1
"rno-miR-203b-5p",0,0,0,0,0,0,0,0,0
"rno-miR-487b-5p",0,1,0,1,0,0,1,0,1
